iter time body_index x y vx vy mass
70 0.7 1 0.937646 -0.347592 -0.173795 -0.468823 1
71 0.71 0 -0.935897 0.352276 0.176137 0.467948 1
71 0.71 1 0.935897 -0.352276 -0.176137 -0.467948 1
72 0.72 0 -0.934124 0.356951 0.178474 0.467062 1
72 0.72 1 0.934124 -0.356951 -0.178474 -0.467062 1
73 0.73 0 -0.932327 0.361617 0.180807 0.466164 1
73 0.73 1 0.932327 -0.361617 -0.180807 -0.466164 1
74 0.74 0 -0.930507 0.366274 0.183136 0.465254 1
74 0.74 1 0.930507 -0.366274 -0.183136 -0.465254 1
75 0.75 0 -0.928665 0.370922 0.18546 0.464332 1
75 0.75 1 0.928665 -0.370922 -0.18546 -0.464332 1
76 0.76 0 -0.926798 0.375561 0.187779 0.463399 1
76 0.76 1 0.926798 -0.375561 -0.187779 -0.463399 1
77 0.77 0 -0.924909 0.38019 0.190094 0.462454 1
77 0.77 1 0.924909 -0.38019 -0.190094 -0.462454 1
78 0.78 0 -0.922996 0.38481 0.192404 0.461498 1
78 0.78 1 0.922996 -0.38481 -0.192404 -0.461498 1
79 0.79 0 -0.921061 0.38942 0.194709 0.46053 1
79 0.79 1 0.921061 -0.38942 -0.194709 -0.46053 1
80 0.8 0 -0.919102 0.39402 0.197009 0.459551 1
80 0.8 1 0.919102 -0.39402 -0.197009 -0.459551 1
81 0.81 0 -0.917121 0.398611 0.199304 0.45856 1
81 0.81 1 0.917121 -0.398611 -0.199304 -0.45856 1
82 0.82 0 -0.915116 0.403192 0.201594 0.457558 1
82 0.82 1 0.915116 -0.403192 -0.201594 -0.457558 1
83 0.83 0 -0.913089 0.407762 0.20388 0.456544 1
83 0.83 1 0.913089 -0.407762 -0.20388 -0.456544 1
84 0.84 0 -0.911039 0.412322 0.20616 0.455519 1
84 0.84 1 0.911039 -0.412322 -0.20616 -0.455519 1
85 0.85 0 -0.908966 0.416873 0.208435 0.454483 1
85 0.85 1 0.908966 -0.416873 -0.208435 -0.454483 1
86 0.86 0 -0.90687 0.421412 0.210705 0.453435 1
86 0.86 1 0.90687 -0.421412 -0.210705 -0.453435 1
87 0.87 0 -0.904751 0.425941 0.212969 0.452376 1
87 0.87 1 0.904751 -0.425941 -0.212969 -0.452376 1
88 0.88 0 -0.90261 0.43046 0.215228 0.451305 1
88 0.88 1 0.90261 -0.43046 -0.215228 -0.451305 1
89 0.89 0 -0.900447 0.434967 0.217482 0.450223 1
89 0.89 1 0.900447 -0.434967 -0.217482 -0.450223 1
90 0.9 0 -0.898261 0.439464 0.219731 0.44913 1
90 0.9 1 0.898261 -0.439464 -0.219731 -0.44913 1
91 0.91 0 -0.896052 0.44395 0.221973 0.448026 1
91 0.91 1 0.896052 -0.44395 -0.221973 -0.448026 1
